trip_distance(km),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,encoded_driving_style,encoded_tire_type
50.0,12.29,0,0,1,15.5,0,1,47.0,-1.3,0.0,1
43.0,8.68,0,1,1,18.0,0,1,58.0,1.2,0.0,1
44.0,1.5,0,1,1,16.1,0,1,43.0,-0.7,0.0,1
76.0,14.44,0,1,0,19.0,0,1,76.0,2.2,0.0,1
15.0,6.84,1,0,0,16.1,0,1,23.0,-0.7,0.0,1
63.0,7.1,0,1,0,18.3,0,1,80.0,1.5,2.0,1
85.0,15.3,0,1,1,18.0,0,1,47.0,1.2,2.0,1
71.0,13.77,0,0,1,19.4,0,1,45.0,2.6,2.0,1
76.0,14.26,0,0,1,15.8,0,1,78.0,-1.0,0.0,1
80.0,13.08,0,0,1,14.0,0,0,52.0,-2.8,1.0,1
59.0,4.61,0,0,1,14.6,0,0,66.0,-2.2,1.0,1
53.0,15.21,0,0,1,17.2,0,1,52.0,0.4,0.0,1
47.0,2.7,0,0,1,18.7,0,1,40.0,1.9,0.0,1
72.0,14.81,0,0,1,20.0,0,1,67.0,3.2,0.0,1
75.0,12.04,0,0,1,16.6,0,1,58.0,-0.2,0.0,1
57.0,12.87,0,0,1,16.3,0,1,54.0,-0.5,0.0,1
90.0,12.35,0,0,1,17.7,0,1,54.0,0.9,0.0,1
54.0,15.05,0,0,1,15.3,0,1,37.0,-1.5,0.0,1
38.0,8.6,0,0,1,15.7,0,1,51.0,-1.1,0.0,1
60.0,5.04,0,0,1,15.6,0,1,58.0,-1.2,0.0,1
60.0,3.0,0,0,1,13.5,0,0,57.0,-3.3,1.0,1
44.0,7.92,1,0,1,16.2,0,1,53.0,-0.6,0.0,1
38.0,2.9,1,0,1,17.1,0,1,63.0,0.3,0.0,1
47.0,13.96,1,0,1,19.6,0,1,37.0,2.8,0.0,1
7.0,10.3,0,0,1,17.7,0,1,44.0,0.9,2.0,1
55.0,2.3,0,0,1,18.2,0,1,62.0,1.4,2.0,1
83.0,9.66,0,0,1,15.6,0,1,65.0,-1.2,0.0,1
78.0,13.77,0,0,1,15.7,0,1,67.0,-1.1,0.0,1
31.0,13.25,1,0,1,17.9,0,1,43.0,1.1,0.0,1
59.0,3.57,1,0,1,15.3,0,1,59.0,-1.5,0.0,1
62.0,9.73,1,0,1,15.7,0,1,44.0,-1.1,0.0,1
79.0,8.27,0,0,1,15.7,0,1,65.0,-1.1,0.0,1
33.0,4.93,0,0,1,16.6,0,1,67.0,-0.2,0.0,1
14.0,11.93,1,0,1,18.8,0,1,33.0,2.0,0.0,1
63.0,5.88,0,1,1,18.1,0,1,61.0,1.3,0.0,1
68.0,7.61,0,1,1,15.4,0,1,63.0,-1.4,0.0,1
39.0,7.06,0,1,0,18.1,0,1,52.0,1.3,0.0,1
82.0,15.13,0,0,1,15.2,0,1,83.0,-1.6,0.0,1
44.0,9.68,0,0,1,16.4,0,0,17.0,-0.4,0.0,1
78.0,8.91,0,0,1,16.0,0,0,51.0,-0.8,0.0,1
40.0,6.07,0,1,0,18.3,0,0,59.0,1.5,0.0,1
38.0,10.5,0,0,1,16.2,0,0,48.0,-0.6,0.0,1
42.0,6.93,0,0,1,16.5,0,0,39.0,-0.3,0.0,1
80.0,8.06,0,0,1,15.9,0,0,48.0,-0.9,0.0,1
57.0,10.81,0,0,1,17.3,0,0,49.0,0.5,0.0,1
43.0,12.33,0,1,0,16.5,0,0,45.0,-0.3,0.0,1
33.0,8.64,0,0,1,16.8,0,0,68.0,0.0,0.0,1
61.0,3.41,0,0,1,15.3,0,0,58.0,-1.5,0.0,1
70.0,8.33,0,0,1,14.6,0,0,55.0,-2.2,0.0,1
33.0,3.14,0,0,1,14.0,0,0,62.0,-2.8,1.0,1
51.0,8.31,1,1,0,16.3,0,1,36.0,-0.5,0.0,1
42.0,15.12,1,1,0,20.4,0,1,37.0,3.6,2.0,1
83.0,7.23,1,0,1,16.6,0,1,46.0,-0.2,0.0,1
82.0,13.64,0,0,1,16.1,0,1,43.0,-0.7,0.0,1
47.0,13.86,0,1,0,18.8,0,1,78.0,2.0,0.0,1
49.0,3.42,0,1,0,14.9,0,1,39.0,-1.9,0.0,1
64.0,10.62,0,0,1,15.3,0,1,72.0,-1.5,0.0,1
80.0,11.4,0,0,1,14.7,0,1,51.0,-2.1,0.0,1
64.0,10.91,0,0,1,16.5,0,1,62.0,-0.3,0.0,1
76.0,8.93,0,1,1,14.9,0,1,44.0,-1.9,0.0,1
18.0,2.92,1,1,0,14.1,0,1,52.0,-2.7,0.0,1
43.0,6.45,1,1,0,15.9,0,1,40.0,-0.9,0.0,1
19.0,7.88,0,1,0,19.6,0,1,71.0,2.8,2.0,1
57.0,8.61,0,0,1,15.1,0,1,44.0,-1.7,0.0,1
22.0,6.81,0,0,1,12.8,0,0,42.0,-4.0,1.0,1
40.0,6.51,0,0,1,14.8,0,1,41.0,-2.0,0.0,1
108.0,7.35,0,0,1,14.9,0,1,41.0,-1.9,0.0,1
61.0,13.13,0,0,1,15.2,0,1,55.0,-1.6,0.0,1
57.0,11.72,0,0,1,13.3,0,1,64.0,-3.5,0.0,1
81.0,3.16,0,0,1,13.8,0,1,49.0,-3.0,0.0,1
4.0,7.11,1,0,0,17.0,0,1,15.0,0.2,0.0,0
45.0,0.95,1,0,1,16.4,0,1,28.0,-0.4,0.0,0
81.0,15.4,0,1,0,16.8,0,1,62.0,0.0,1.0,0
6.0,15.0,0,1,0,12.6,0,1,37.0,-4.2,1.0,0
118.0,0.01,1,1,0,13.6,0,1,59.0,-3.2,1.0,0
84.0,7.52,1,1,0,14.5,0,1,72.0,-2.3,0.0,0
20.0,3.95,1,0,0,16.5,0,1,20.0,-0.3,0.0,0
74.0,14.51,0,1,0,15.2,0,1,85.0,-1.6,0.0,0
17.0,13.72,0,1,0,12.1,0,1,62.0,-4.7,1.0,0
82.0,0.33,0,1,0,12.1,0,1,64.0,-4.7,1.0,0
32.0,7.3,1,1,1,13.9,0,1,22.0,-2.9,1.0,0
102.0,9.55,0,1,0,13.8,0,1,64.0,-3.0,1.0,0
71.0,14.13,0,1,0,13.9,0,1,75.0,-2.9,1.0,0
72.0,9.58,0,1,0,13.8,0,1,66.0,-3.0,1.0,0
34.0,9.49,0,1,0,15.7,0,1,64.0,-1.1,1.0,0
75.0,3.76,0,1,0,14.1,0,1,52.0,-2.7,0.0,0
13.0,4.9,1,0,0,14.3,0,1,36.0,-2.5,0.0,0
73.0,10.06,0,1,0,15.5,0,1,61.0,-1.3,0.0,0
35.0,5.59,0,1,0,14.6,0,1,59.0,-2.2,0.0,0
72.0,11.34,0,1,0,15.5,0,0,70.0,-1.3,0.0,0
89.0,8.95,0,1,1,13.8,0,1,47.0,-3.0,0.0,0
32.0,4.38,0,1,0,14.3,0,0,46.0,-2.5,0.0,0
72.0,7.48,0,1,0,13.0,0,0,61.0,-3.8,0.0,0
72.0,8.67,0,1,0,14.4,0,1,75.0,-2.4,0.0,0
86.0,10.08,0,1,1,14.7,0,1,59.0,-2.1,0.0,0
111.0,13.44,0,1,0,13.4,0,0,64.0,-3.4,0.0,0
103.0,14.22,0,1,0,12.5,0,0,68.0,-4.3,0.0,0
72.0,14.19,0,1,0,13.3,0,0,76.0,-3.5,0.0,0
103.0,9.66,0,1,0,12.5,0,1,65.0,-4.3,1.0,0
73.0,12.72,0,1,0,13.6,0,0,82.0,-3.2,0.0,0
100.0,10.17,0,1,0,13.9,0,1,74.0,-2.9,0.0,0
72.0,13.22,0,1,0,12.9,0,0,83.0,-3.9,0.0,0
72.0,10.33,0,1,0,13.5,0,1,56.0,-3.3,0.0,0
104.0,9.54,0,1,0,13.4,0,1,79.0,-3.4,0.0,0
98.0,12.78,0,1,0,13.4,0,0,74.0,-3.4,0.0,0
19.0,11.16,0,1,0,14.2,0,0,56.0,-2.6,0.0,0
71.0,5.12,0,1,0,12.7,0,0,67.0,-4.1,0.0,0
100.0,10.51,0,1,0,13.1,0,1,79.0,-3.7,0.0,0
71.0,12.33,0,1,0,13.1,0,0,67.0,-3.7,0.0,0
101.0,10.86,0,1,0,13.8,0,1,78.0,-3.0,0.0,0
75.0,15.69,0,1,0,14.0,0,0,58.0,-2.8,0.0,0
102.0,10.95,0,1,0,13.6,0,0,77.0,-3.2,0.0,0
73.0,13.24,0,1,0,13.9,0,0,78.0,-2.9,0.0,0
100.0,10.24,0,1,0,13.1,0,1,72.0,-3.7,1.0,0
71.0,13.67,0,1,0,14.2,0,0,85.0,-2.6,0.0,0
71.0,9.66,0,1,0,14.6,0,1,62.0,-2.2,1.0,0
34.0,12.47,0,1,0,15.0,0,1,64.0,-1.8,0.0,0
69.0,4.97,0,1,0,14.8,0,1,86.0,-2.0,0.0,0
125.0,12.83,0,0,1,12.2,0,1,53.0,-4.6,1.0,0
111.0,11.87,0,0,1,12.2,0,0,56.0,-4.6,1.0,0
83.0,10.71,0,1,0,12.4,0,0,66.0,-4.4,1.0,0
85.0,10.37,0,0,1,13.2,0,0,53.0,-3.6,1.0,0
17.0,6.35,0,1,0,12.5,0,0,53.0,-4.3,1.0,0
74.0,6.38,0,1,0,13.4,0,0,74.0,-3.4,0.0,0
103.0,11.35,0,1,0,12.4,0,0,70.0,-4.4,1.0,0
72.0,13.2,0,1,0,14.0,0,0,76.0,-2.8,0.0,0
72.0,8.93,0,1,0,14.2,0,1,77.0,-2.6,0.0,0
49.0,7.26,0,1,1,13.9,0,0,68.0,-2.9,0.0,0
22.0,12.96,1,0,0,12.2,0,0,32.0,-4.6,0.0,0
100.0,2.79,0,1,1,14.6,0,0,53.0,-2.2,0.0,0
16.0,13.51,0,1,0,17.2,0,0,71.0,0.4,2.0,0
111.0,4.8,0,1,0,12.8,0,0,89.0,-4.0,0.0,0
98.0,13.0,0,1,0,12.5,0,0,64.0,-4.3,0.0,0
29.0,9.39,0,1,0,13.2,0,0,100.0,-3.6,0.0,0
107.0,6.24,0,1,1,13.0,0,0,78.0,-3.8,0.0,0
63.0,13.98,0,1,1,12.4,0,0,67.0,-4.4,0.0,0
18.0,2.23,0,0,1,17.0,0,0,48.0,0.2,1.0,0
71.0,3.75,0,0,1,12.8,0,0,75.0,-4.0,1.0,0
