manufacturer,model,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Mitsubishi,i-MiEV,i-MiEV,49,07.02.2019,176977,50.7,6.5,Electricity,Winter tires,1,0,1,Normal,,0,0,,,"Noch 6 Balken, 33km Reichweite, Mainova Ökostrom Novanatur, Abbruch nach 3,5kWh, 71%, weiter nach 3,5h, Stop nach 4,75h, Ladeende 2,6°C, RRW 87km, 93,5%, Batterie 9-14°C, 11,3°C"
Mitsubishi,i-MiEV,i-MiEV,49,06.02.2019,176926,49.9,7.3,Electricity,Winter tires,1,0,1,Normal,14.63,0,0,,-0.3699999999999992,"Noch 5 Balken, 30km Reichweite, Mainova Ökostrom Novanatur, 4h geladen, Ladeende -2,2°C, RRW 93km, 99,0%, Batterie 6-13°C, 9,7°C"
Mitsubishi,i-MiEV,i-MiEV,49,05.02.2019,176876,51.5,7.1,Electricity,Winter tires,1,0,1,Normal,13.79,0,0,,-1.2100000000000009,"Noch 6B, 36km RRW, Batterie 8-11°C, 9,3°C, 41,0%, Solarstrom P&amp;C, 4,25h geladen, Ladeende 0,1°C, RRW 104km, Batterie 9-14°C, 11,2°C, 100%, 4.1. 17. 21. 23. 24. 26. 28.-30.1. 2.2. 5.2."
Mitsubishi,i-MiEV,i-MiEV,49,04.02.2019,176824,52.5,7.4,Electricity,Winter tires,1,0,1,Normal,14.1,0,0,,-0.9000000000000004,"Noch 5 Balken, 30km Reichweite, Mainova Ökostrom Novanatur, 5h geladen, Ladeende 0,9°C, RRW 94km, 98,0%, Batterie 7-12°C, 9,7°C"
Mitsubishi,i-MiEV,i-MiEV,49,03.02.2019,176772,0.5,1.65,Electricity,Winter tires,1,0,0,Normal,14.47,0,0,,-0.5299999999999994,"Noch 15 Balken, 75km Reichweite, 85,5%, Batterie 4-8°C, 6,1°C, Mainova Ökostrom Novanatur, 4h geladen, Ladeende 4,0°C, RRW 85km, 96,5%, Batterie 5-10°C, 7,2°C"
Mitsubishi,i-MiEV,i-MiEV,49,03.02.2019,176771,15.4,6.5,Electricity,Winter tires,1,0,1,Normal,14.47,0,0,,-0.5299999999999994,"Noch 6 Balken, 31km Reichweite, 40,5%, Batterie 14-21°C, 17,6°C, Mainova Ökostrom Novanatur, 2,5h geladen, Ladeende 3,4°C, RRW 86km, 96,5%, Batterie 14-22°C, 17,9°C, 16B"
Mitsubishi,i-MiEV,i-MiEV,49,02.02.2019,176756,30.0,3.55,Electricity,Winter tires,1,0,1,Normal,14.47,0,0,,-0.5299999999999994,"Noch 3 Balken, 14km Reichweite, 24,0%, Batterie 11-18°C, 14,4°C, Ökostrom, 22m41s geladen, 3,55kWh, 57,0%, Ladeende 4,6°C, RRW 45km, 9B, Batterie 13-19°C, 15,9°C"
Mitsubishi,i-MiEV,i-MiEV,49,02.02.2019,176726,40.6,3.9,Electricity,Winter tires,1,1,1,Normal,14.47,0,0,,-0.5299999999999994,"Noch 3B, 14km RRW, Batterie 12-19°C, 15,9°C, 23,0%, Solarstrom P&amp;C, 1,5h geladen, Ladeende 5,5°C, RRW 47km, Batterie 13-19°C, 15,8°C, 55,0%, 4.1. 17. 21. 23. 24. 26. 28.-30.1. 2.2."
Mitsubishi,i-MiEV,i-MiEV,49,02.02.2019,176685,49.6,4.09,Electricity,Winter tires,1,1,1,Normal,14.47,0,0,,-0.5299999999999994,"Noch 4 Balken, 15km Reichweite, 28,5%, Batterie 10-14°C, 11,7°C, Süwag, 1,75h geladen, Ladeende 4,3°C, RRW 43km, 10B, 63,5%, Batterie 11-16°C, 13,2°C"
Mitsubishi,i-MiEV,i-MiEV,49,01.02.2019,176636,31.0,,Electricity,Winter tires,1,0,1,Normal,,0,0,,,"Noch 10 Balken, 47km Reichweite, entega Ökostrom, 5,75h geladen, Ladeende 2,5°C, RRW 80km"
Mitsubishi,i-MiEV,i-MiEV,49,31.01.2019,176605,19.9,5.2,Electricity,Winter tires,1,0,1,Normal,14.57,0,0,,-0.4299999999999997,"Noch 9 Balken, 47km Reichweite, 55,5%, Batterie 6-11°C, 8,6°C, Mainova Ökostrom Novanatur, 3,75h geladen, Ladeende 0,0°C, RRW 92km, 99,0%, Batterie 6-12°C, 8,9°C"
Mitsubishi,i-MiEV,i-MiEV,49,31.01.2019,176585,35.0,2.8,Electricity,Winter tires,1,0,1,Normal,14.57,0,0,,-0.4299999999999997,"Noch 8 Balken, 44km Reichweite, entega Ökostrom, 64m geladen, Ladeende 1,5°C, RRW 67km, 13B"
Mitsubishi,i-MiEV,i-MiEV,49,30.01.2019,176550,49.7,7.2,Electricity,Winter tires,1,0,1,Normal,14.49,0,0,,-0.5099999999999998,"Noch 5B, 32km RRW, Batterie 5-9°C, 7,3°C, 39,5%, Solarstrom P&amp;C, 3,75h geladen, Ladeende -0,9°C, RRW 95km, Batterie 7-13°C, 9,3°C, 100%, 4.1. 17.1. 21.1. 23.1. 24.1. 26.1. 28.1. 29.1. 30.1."
Mitsubishi,i-MiEV,i-MiEV,49,30.01.2019,176501,48.8,7.3,Electricity,Winter tires,1,0,1,Normal,14.96,0,0,,-0.03999999999999915,"Noch 5B, 30km RRW, Batterie 6-10°C, 8,3°C, 37,5%, Solarstrom P&amp;C, 4,5h geladen, Ladeende 0,1°C, RRW 97km, Batterie 6-12°C, 9,2°C, 100%, 4.1. 17.1. 21.1. 23.1. 24.1. 26.1. 28.1. 29.1."
Mitsubishi,i-MiEV,i-MiEV,49,28.01.2019,176452,49.7,7.0,Electricity,Winter tires,1,0,1,Normal,14.08,0,0,,-0.9199999999999999,"Noch 6B, 33km RRW, Batterie 6-9°C, 7,8°C, 41,0%, Solarstrom P&amp;C, 3,75h geladen, Ladeende 1,6°C, RRW 98km, Batterie 8-13°C, 10,2°C, 100%, 4.1. 17.1. 21.1. 23.1. 24.1. 26.1. 28.1."
Mitsubishi,i-MiEV,i-MiEV,49,26.01.2019,176402,32.7,4.7,Electricity,Winter tires,1,1,1,Normal,15.51,0,0,,0.5099999999999998,"Noch 10B, 49km RRW, Batterie 12-20°C, 16,3°C, 62,5%, Solarstrom P&amp;C, 4,75h geladen, Ladeende 3,7°C, RRW 84km, Batterie 9-16°C, 12,9°C, 99,0%, 4.1. 17.1. 21.1. 23.1. 24.1. 26.1."
Mitsubishi,i-MiEV,i-MiEV,49,26.01.2019,176369,0.9,5.97,Electricity,Winter tires,1,0,0,Normal,15.51,0,0,,0.5099999999999998,"Noch 5 Balken, 22km Reichweite, Süwag, 2,5h geladen, Ladeende 4,0°C, RRW 66km, 16B, Autobahn 80-82km/h, [Schildkröte nach 27,8km bei ca. 50A, Steigung, noch 8B]."
Mitsubishi,i-MiEV,i-MiEV,49,26.01.2019,176368,37.6,0.37,Electricity,Winter tires,1,1,1,Normal,15.51,0,0,,0.5099999999999998,"Noch 6 Balken, 29km Reichweite, Mainova Ökostrom Novanatur, 25m geladen, Ladeende 3,7°C, RRW 27km, 6B"
Mitsubishi,i-MiEV,i-MiEV,49,25.01.2019,176331,52.7,8.1,Electricity,Winter tires,1,0,1,Normal,14.86,0,0,,-0.14000000000000057,"Noch 5 Balken, 29km Reichweite, Mainova Ökostrom Novanatur, 4,25h geladen, Ladeende 0,2°C, RRW 101km, 100%, Batterie 6-13°C, 9,1°C"
Mitsubishi,i-MiEV,i-MiEV,49,25.01.2019,176278,48.9,7.0,Electricity,Winter tires,1,0,1,Normal,14.86,0,0,,-0.14000000000000057,"Noch 5B, 33km RRW, Batterie 3-7°C, 5,0°C, 39,5%, Solarstrom P&amp;C, 3,5h geladen, Ladeende -2,3°C, RRW 97km, Batterie 5-12°C, 8,0°C, 98,0%, 4.1. 17.1. 21.1. 23.1. 24.1."
Mitsubishi,i-MiEV,i-MiEV,49,23.01.2019,176229,50.9,7.8,Electricity,Winter tires,1,0,1,Normal,15.32,0,0,,0.3200000000000003,"Noch 5B, 25km RRW, Batterie 4-8°C, 6,6°C, 35,0%, Solarstrom P&amp;C, 4,25h geladen, Ladeende -1,6°C, RRW 89km, Batterie 5-12°C, 8,3°C, 100%, 4.1. 17.1. 21.1. 23.1."
Mitsubishi,i-MiEV,i-MiEV,49,22.01.2019,176178,52.2,7.9,Electricity,Winter tires,1,0,1,Normal,15.13,0,0,,0.13000000000000078,"Noch 5 Balken, 27km Reichweite, Mainova Ökostrom Novanatur, 4h geladen, Ladeende -1,4°C, RRW 97km, 100%, Batterie 5-12°C, 8,1°C"
Mitsubishi,i-MiEV,i-MiEV,49,21.01.2019,176126,50.7,7.6,Electricity,Winter tires,1,0,1,Normal,14.99,0,0,,-0.009999999999999787,"Noch 5B, 26km RRW, Batterie 2-7°C, 4,7°C, 35,0%, Solarstrom P&amp;C, 3,75h geladen, Ladeende -7,0°C, RRW 93km, Batterie 4-11°C, 7,2°C, 99,0%, 4.1. 17.1. 21.1."
Mitsubishi,i-MiEV,i-MiEV,49,21.01.2019,176075,62.9,8.9,Electricity,Winter tires,1,1,1,Normal,14.66,0,0,,-0.33999999999999986,"Noch 3 Balken, 16km Reichweite, Mainova Ökostrom Novanatur, 3,75h geladen, Ladeende -5,4°C, RRW 88km, 100%, Batterie 7-16°C, 11,4°C, Schildkröte 2km vor Ziel"
Mitsubishi,i-MiEV,i-MiEV,49,20.01.2019,176012,0.5,1.3,Electricity,Winter tires,1,0,0,Normal,14.66,0,0,,-0.33999999999999986,"Noch 15 Balken, 82km Reichweite, 91,0%, Batterie -1-3°C, 1,6°C, Mainova Ökostrom Novanatur, 3h geladen, Ladeende -0,2°C, RRW 88km, 96,5%, Batterie 1-6°C, 2,8°C"
Mitsubishi,i-MiEV,i-MiEV,49,20.01.2019,176012,60.1,7.9,Electricity,Winter tires,1,1,1,Normal,14.66,0,0,,-0.33999999999999986,"Noch 4 Balken, 20km Reichweite, Mainova Ökostrom Novanatur, 3h geladen, Ladeende -4,5°C, RRW 88km, 96,5%, Batterie 10-19°C, 14,6°C, 16B"
