trip_distance(km),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation
50.0,12.29,Winter tires,0,0,1,Normal,15.5,0,1,47.0,-1.3
43.0,8.68,Winter tires,0,1,1,Normal,18.0,0,1,58.0,1.2
44.0,1.5,Winter tires,0,1,1,Normal,16.1,0,1,43.0,-0.7
76.0,14.44,Winter tires,0,1,0,Normal,19.0,0,1,76.0,2.2
15.0,6.84,Winter tires,1,0,0,Normal,16.1,0,1,23.0,-0.7
63.0,7.1,Winter tires,0,1,0,Fast,18.3,0,1,80.0,1.5
85.0,15.3,Winter tires,0,1,1,Fast,18.0,0,1,47.0,1.2
71.0,13.77,Winter tires,0,0,1,Fast,19.4,0,1,45.0,2.6
76.0,14.26,Winter tires,0,0,1,Normal,15.8,0,1,78.0,-1.0
80.0,13.08,Winter tires,0,0,1,Moderate,14.0,0,0,52.0,-2.8
59.0,4.61,Winter tires,0,0,1,Moderate,14.6,0,0,66.0,-2.2
53.0,15.21,Winter tires,0,0,1,Normal,17.2,0,1,52.0,0.4
47.0,2.7,Winter tires,0,0,1,Normal,18.7,0,1,40.0,1.9
72.0,14.81,Winter tires,0,0,1,Normal,20.0,0,1,67.0,3.2
75.0,12.04,Winter tires,0,0,1,Normal,16.6,0,1,58.0,-0.2
57.0,12.87,Winter tires,0,0,1,Normal,16.3,0,1,54.0,-0.5
90.0,12.35,Winter tires,0,0,1,Normal,17.7,0,1,54.0,0.9
54.0,15.05,Winter tires,0,0,1,Normal,15.3,0,1,37.0,-1.5
38.0,8.6,Winter tires,0,0,1,Normal,15.7,0,1,51.0,-1.1
60.0,5.04,Winter tires,0,0,1,Normal,15.6,0,1,58.0,-1.2
60.0,3.0,Winter tires,0,0,1,Moderate,13.5,0,0,57.0,-3.3
44.0,7.92,Winter tires,1,0,1,Normal,16.2,0,1,53.0,-0.6
38.0,2.9,Winter tires,1,0,1,Normal,17.1,0,1,63.0,0.3
47.0,13.96,Winter tires,1,0,1,Normal,19.6,0,1,37.0,2.8
7.0,10.3,Winter tires,0,0,1,Fast,17.7,0,1,44.0,0.9
55.0,2.3,Winter tires,0,0,1,Fast,18.2,0,1,62.0,1.4
83.0,9.66,Winter tires,0,0,1,Normal,15.6,0,1,65.0,-1.2
78.0,13.77,Winter tires,0,0,1,Normal,15.7,0,1,67.0,-1.1
31.0,13.25,Winter tires,1,0,1,Normal,17.9,0,1,43.0,1.1
59.0,3.57,Winter tires,1,0,1,Normal,15.3,0,1,59.0,-1.5
62.0,9.73,Winter tires,1,0,1,Normal,15.7,0,1,44.0,-1.1
79.0,8.27,Winter tires,0,0,1,Normal,15.7,0,1,65.0,-1.1
33.0,4.93,Winter tires,0,0,1,Normal,16.6,0,1,67.0,-0.2
14.0,11.93,Winter tires,1,0,1,Normal,18.8,0,1,33.0,2.0
63.0,5.88,Winter tires,0,1,1,Normal,18.1,0,1,61.0,1.3
68.0,7.61,Winter tires,0,1,1,Normal,15.4,0,1,63.0,-1.4
39.0,7.06,Winter tires,0,1,0,Normal,18.1,0,1,52.0,1.3
82.0,15.13,Winter tires,0,0,1,Normal,15.2,0,1,83.0,-1.6
44.0,9.68,Winter tires,0,0,1,Normal,16.4,0,0,17.0,-0.4
78.0,8.91,Winter tires,0,0,1,Normal,16.0,0,0,51.0,-0.8
40.0,6.07,Winter tires,0,1,0,Normal,18.3,0,0,59.0,1.5
38.0,10.5,Winter tires,0,0,1,Normal,16.2,0,0,48.0,-0.6
42.0,6.93,Winter tires,0,0,1,Normal,16.5,0,0,39.0,-0.3
80.0,8.06,Winter tires,0,0,1,Normal,15.9,0,0,48.0,-0.9
57.0,10.81,Winter tires,0,0,1,Normal,17.3,0,0,49.0,0.5
43.0,12.33,Winter tires,0,1,0,Normal,16.5,0,0,45.0,-0.3
33.0,8.64,Winter tires,0,0,1,Normal,16.8,0,0,68.0,0.0
61.0,3.41,Winter tires,0,0,1,Normal,15.3,0,0,58.0,-1.5
70.0,8.33,Winter tires,0,0,1,Normal,14.6,0,0,55.0,-2.2
33.0,3.14,Winter tires,0,0,1,Moderate,14.0,0,0,62.0,-2.8
51.0,8.31,Winter tires,1,1,0,Normal,16.3,0,1,36.0,-0.5
42.0,15.12,Winter tires,1,1,0,Fast,20.4,0,1,37.0,3.6
83.0,7.23,Winter tires,1,0,1,Normal,16.6,0,1,46.0,-0.2
82.0,13.64,Winter tires,0,0,1,Normal,16.1,0,1,43.0,-0.7
47.0,13.86,Winter tires,0,1,0,Normal,18.8,0,1,78.0,2.0
49.0,3.42,Winter tires,0,1,0,Normal,14.9,0,1,39.0,-1.9
64.0,10.62,Winter tires,0,0,1,Normal,15.3,0,1,72.0,-1.5
80.0,11.4,Winter tires,0,0,1,Normal,14.7,0,1,51.0,-2.1
64.0,10.91,Winter tires,0,0,1,Normal,16.5,0,1,62.0,-0.3
76.0,8.93,Winter tires,0,1,1,Normal,14.9,0,1,44.0,-1.9
18.0,2.92,Winter tires,1,1,0,Normal,14.1,0,1,52.0,-2.7
43.0,6.45,Winter tires,1,1,0,Normal,15.9,0,1,40.0,-0.9
19.0,7.88,Winter tires,0,1,0,Fast,19.6,0,1,71.0,2.8
57.0,8.61,Winter tires,0,0,1,Normal,15.1,0,1,44.0,-1.7
22.0,6.81,Winter tires,0,0,1,Moderate,12.8,0,0,42.0,-4.0
40.0,6.51,Winter tires,0,0,1,Normal,14.8,0,1,41.0,-2.0
108.0,7.35,Winter tires,0,0,1,Normal,14.9,0,1,41.0,-1.9
61.0,13.13,Winter tires,0,0,1,Normal,15.2,0,1,55.0,-1.6
57.0,11.72,Winter tires,0,0,1,Normal,13.3,0,1,64.0,-3.5
81.0,3.16,Winter tires,0,0,1,Normal,13.8,0,1,49.0,-3.0
4.0,7.11,Summer tires,1,0,0,Normal,17.0,0,1,15.0,0.2
45.0,0.95,Summer tires,1,0,1,Normal,16.4,0,1,28.0,-0.4
81.0,15.4,Summer tires,0,1,0,Moderate,16.8,0,1,62.0,0.0
6.0,15.0,Summer tires,0,1,0,Moderate,12.6,0,1,37.0,-4.2
118.0,0.01,Summer tires,1,1,0,Moderate,13.6,0,1,59.0,-3.2
84.0,7.52,Summer tires,1,1,0,Normal,14.5,0,1,72.0,-2.3
20.0,3.95,Summer tires,1,0,0,Normal,16.5,0,1,20.0,-0.3
74.0,14.51,Summer tires,0,1,0,Normal,15.2,0,1,85.0,-1.6
17.0,13.72,Summer tires,0,1,0,Moderate,12.1,0,1,62.0,-4.7
82.0,0.33,Summer tires,0,1,0,Moderate,12.1,0,1,64.0,-4.7
32.0,7.3,Summer tires,1,1,1,Moderate,13.9,0,1,22.0,-2.9
102.0,9.55,Summer tires,0,1,0,Moderate,13.8,0,1,64.0,-3.0
71.0,14.13,Summer tires,0,1,0,Moderate,13.9,0,1,75.0,-2.9
72.0,9.58,Summer tires,0,1,0,Moderate,13.8,0,1,66.0,-3.0
34.0,9.49,Summer tires,0,1,0,Moderate,15.7,0,1,64.0,-1.1
75.0,3.76,Summer tires,0,1,0,Normal,14.1,0,1,52.0,-2.7
13.0,4.9,Summer tires,1,0,0,Normal,14.3,0,1,36.0,-2.5
73.0,10.06,Summer tires,0,1,0,Normal,15.5,0,1,61.0,-1.3
35.0,5.59,Summer tires,0,1,0,Normal,14.6,0,1,59.0,-2.2
72.0,11.34,Summer tires,0,1,0,Normal,15.5,0,0,70.0,-1.3
89.0,8.95,Summer tires,0,1,1,Normal,13.8,0,1,47.0,-3.0
32.0,4.38,Summer tires,0,1,0,Normal,14.3,0,0,46.0,-2.5
72.0,7.48,Summer tires,0,1,0,Normal,13.0,0,0,61.0,-3.8
72.0,8.67,Summer tires,0,1,0,Normal,14.4,0,1,75.0,-2.4
86.0,10.08,Summer tires,0,1,1,Normal,14.7,0,1,59.0,-2.1
111.0,13.44,Summer tires,0,1,0,Normal,13.4,0,0,64.0,-3.4
103.0,14.22,Summer tires,0,1,0,Normal,12.5,0,0,68.0,-4.3
72.0,14.19,Summer tires,0,1,0,Normal,13.3,0,0,76.0,-3.5
103.0,9.66,Summer tires,0,1,0,Moderate,12.5,0,1,65.0,-4.3
73.0,12.72,Summer tires,0,1,0,Normal,13.6,0,0,82.0,-3.2
100.0,10.17,Summer tires,0,1,0,Normal,13.9,0,1,74.0,-2.9
72.0,13.22,Summer tires,0,1,0,Normal,12.9,0,0,83.0,-3.9
72.0,10.33,Summer tires,0,1,0,Normal,13.5,0,1,56.0,-3.3
104.0,9.54,Summer tires,0,1,0,Normal,13.4,0,1,79.0,-3.4
98.0,12.78,Summer tires,0,1,0,Normal,13.4,0,0,74.0,-3.4
19.0,11.16,Summer tires,0,1,0,Normal,14.2,0,0,56.0,-2.6
