manufacturer,model,version,power(kW),fuel_date,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation
Volkswagen,Golf,e-Golf,85,08.02.2019,80,,Electricity,Winter tires,0,0,1,Normal,17.8,0,1,53,1
Volkswagen,Golf,e-Golf,85,06.02.2019,50,12.29,Electricity,Winter tires,0,0,1,Normal,15.5,0,1,47,-1.3
Volkswagen,Golf,e-Golf,85,05.02.2019,43,8.68,Electricity,Winter tires,0,1,1,Normal,18,0,1,58,1.2
Volkswagen,Golf,e-Golf,85,04.02.2019,44,1.5,Electricity,Winter tires,0,1,1,Normal,16.1,0,1,43,-0.7
Volkswagen,Golf,e-Golf,85,04.02.2019,76,14.44,Electricity,Winter tires,0,1,0,Normal,19,0,1,76,2.2
Volkswagen,Golf,e-Golf,85,03.02.2019,15,6.84,Electricity,Winter tires,1,0,0,Normal,16.1,0,1,23,-0.7
Volkswagen,Golf,e-Golf,85,01.02.2019,63,7.1,Electricity,Winter tires,0,1,0,Fast,18.3,0,1,80,1.5
Volkswagen,Golf,e-Golf,85,31.01.2019,85,15.3,Electricity,Winter tires,0,1,1,Fast,18,0,1,47,1.2
Volkswagen,Golf,e-Golf,85,31.01.2019,71,13.77,Electricity,Winter tires,0,0,1,Fast,19.4,0,1,45,2.6
Volkswagen,Golf,e-Golf,85,25.01.2019,76,14.26,Electricity,Winter tires,0,0,1,Normal,15.8,0,1,78,-1
Volkswagen,Golf,e-Golf,85,24.01.2019,80,13.08,Electricity,Winter tires,0,0,1,Moderate,14,0,0,52,-2.8
Volkswagen,Golf,e-Golf,85,24.01.2019,59,4.61,Electricity,Winter tires,0,0,1,Moderate,14.6,0,0,66,-2.2
Volkswagen,Golf,e-Golf,85,23.01.2019,53,15.21,Electricity,Winter tires,0,0,1,Normal,17.2,0,1,52,0.4
Volkswagen,Golf,e-Golf,85,23.01.2019,47,2.7,Electricity,Winter tires,0,0,1,Normal,18.7,0,1,40,1.9
Volkswagen,Golf,e-Golf,85,18.01.2019,72,14.81,Electricity,Winter tires,0,0,1,Normal,20,0,1,67,3.2
Volkswagen,Golf,e-Golf,85,17.01.2019,75,12.04,Electricity,Winter tires,0,0,1,Normal,16.6,0,1,58,-0.2
Volkswagen,Golf,e-Golf,85,16.01.2019,57,12.87,Electricity,Winter tires,0,0,1,Normal,16.3,0,1,54,-0.5
Volkswagen,Golf,e-Golf,85,14.01.2019,90,12.35,Electricity,Winter tires,0,0,1,Normal,17.7,0,1,54,0.9
Volkswagen,Golf,e-Golf,85,13.01.2019,54,15.05,Electricity,Winter tires,0,0,1,Normal,15.3,0,1,37,-1.5
Volkswagen,Golf,e-Golf,85,10.01.2019,38,8.6,Electricity,Winter tires,0,0,1,Normal,15.7,0,1,51,-1.1
Volkswagen,Golf,e-Golf,85,10.01.2019,60,5.04,Electricity,Winter tires,0,0,1,Normal,15.6,0,1,58,-1.2
Volkswagen,Golf,e-Golf,85,10.01.2019,60,3,Electricity,Winter tires,0,0,1,Moderate,13.5,0,0,57,-3.3
Volkswagen,Golf,e-Golf,85,09.01.2019,44,7.92,Electricity,Winter tires,1,0,1,Normal,16.2,0,1,53,-0.6
Volkswagen,Golf,e-Golf,85,09.01.2019,38,2.9,Electricity,Winter tires,1,0,1,Normal,17.1,0,1,63,0.3
Volkswagen,Golf,e-Golf,85,09.01.2019,47,13.96,Electricity,Winter tires,1,0,1,Normal,19.6,0,1,37,2.8
Volkswagen,Golf,e-Golf,85,03.01.2019,7,10.3,Electricity,Winter tires,0,0,1,Fast,17.7,0,1,44,0.9
Volkswagen,Golf,e-Golf,85,03.01.2019,55,2.3,Electricity,Winter tires,0,0,1,Fast,18.2,0,1,62,1.4
Volkswagen,Golf,e-Golf,85,02.01.2019,83,9.66,Electricity,Winter tires,0,0,1,Normal,15.6,0,1,65,-1.2
Volkswagen,Golf,e-Golf,85,31.12.2018,78,13.77,Electricity,Winter tires,0,0,1,Normal,15.7,0,1,67,-1.1
Volkswagen,Golf,e-Golf,85,31.12.2018,31,13.25,Electricity,Winter tires,1,0,1,Normal,17.9,0,1,43,1.1
Volkswagen,Golf,e-Golf,85,29.12.2018,59,3.57,Electricity,Winter tires,1,0,1,Normal,15.3,0,1,59,-1.5
Volkswagen,Golf,e-Golf,85,29.12.2018,62,9.73,Electricity,Winter tires,1,0,1,Normal,15.7,0,1,44,-1.1
Volkswagen,Golf,e-Golf,85,28.12.2018,79,8.27,Electricity,Winter tires,0,0,1,Normal,15.7,0,1,65,-1.1
Volkswagen,Golf,e-Golf,85,26.12.2018,33,4.93,Electricity,Winter tires,0,0,1,Normal,16.6,0,1,67,-0.2
Volkswagen,Golf,e-Golf,85,25.12.2018,14,11.93,Electricity,Winter tires,1,0,1,Normal,18.8,0,1,33,2
Volkswagen,Golf,e-Golf,85,20.12.2018,63,5.88,Electricity,Winter tires,0,1,1,Normal,18.1,0,1,61,1.3
Volkswagen,Golf,e-Golf,85,20.12.2018,68,7.61,Electricity,Winter tires,0,1,1,Normal,15.4,0,1,63,-1.4
Volkswagen,Golf,e-Golf,85,20.12.2018,39,7.06,Electricity,Winter tires,0,1,0,Normal,18.1,0,1,52,1.3
Volkswagen,Golf,e-Golf,85,19.12.2018,82,15.13,Electricity,Winter tires,0,0,1,Normal,15.2,0,1,83,-1.6
Volkswagen,Golf,e-Golf,85,18.12.2018,44,9.68,Electricity,Winter tires,0,0,1,Normal,16.4,0,0,17,-0.4
Volkswagen,Golf,e-Golf,85,12.12.2018,78,8.91,Electricity,Winter tires,0,0,1,Normal,16,0,0,51,-0.8
Volkswagen,Golf,e-Golf,85,11.12.2018,40,6.07,Electricity,Winter tires,0,1,0,Normal,18.3,0,0,59,1.5
Volkswagen,Golf,e-Golf,85,10.12.2018,38,10.5,Electricity,Winter tires,0,0,1,Normal,16.2,0,0,48,-0.6
Volkswagen,Golf,e-Golf,85,10.12.2018,42,6.93,Electricity,Winter tires,0,0,1,Normal,16.5,0,0,39,-0.3
Volkswagen,Golf,e-Golf,85,07.12.2018,80,8.06,Electricity,Winter tires,0,0,1,Normal,15.9,0,0,48,-0.9
Volkswagen,Golf,e-Golf,85,06.12.2018,57,10.81,Electricity,Winter tires,0,0,1,Normal,17.3,0,0,49,0.5
Volkswagen,Golf,e-Golf,85,04.12.2018,43,12.33,Electricity,Winter tires,0,1,0,Normal,16.5,0,0,45,-0.3
Volkswagen,Golf,e-Golf,85,03.12.2018,33,8.64,Electricity,Winter tires,0,0,1,Normal,16.8,0,0,68,0
Volkswagen,Golf,e-Golf,85,02.12.2018,61,3.41,Electricity,Winter tires,0,0,1,Normal,15.3,0,0,58,-1.5
Volkswagen,Golf,e-Golf,85,02.12.2018,70,8.33,Electricity,Winter tires,0,0,1,Normal,14.6,0,0,55,-2.2
Volkswagen,Golf,e-Golf,85,02.12.2018,33,3.14,Electricity,Winter tires,0,0,1,Moderate,14,0,0,62,-2.8
Volkswagen,Golf,e-Golf,85,01.12.2018,51,8.31,Electricity,Winter tires,1,1,0,Normal,16.3,0,1,36,-0.5
Volkswagen,Golf,e-Golf,85,29.11.2018,42,15.12,Electricity,Winter tires,1,1,0,Fast,20.4,0,1,37,3.6
Volkswagen,Golf,e-Golf,85,24.11.2018,83,7.23,Electricity,Winter tires,1,0,1,Normal,16.6,0,1,46,-0.2
Volkswagen,Golf,e-Golf,85,21.11.2018,82,13.64,Electricity,Winter tires,0,0,1,Normal,16.1,0,1,43,-0.7
Volkswagen,Golf,e-Golf,85,20.11.2018,47,13.86,Electricity,Winter tires,0,1,0,Normal,18.8,0,1,78,2
Volkswagen,Golf,e-Golf,85,19.11.2018,49,3.42,Electricity,Winter tires,0,1,0,Normal,14.9,0,1,39,-1.9
Volkswagen,Golf,e-Golf,85,19.11.2018,64,10.62,Electricity,Winter tires,0,0,1,Normal,15.3,0,1,72,-1.5
Volkswagen,Golf,e-Golf,85,16.11.2018,80,11.4,Electricity,Winter tires,0,0,1,Normal,14.7,0,1,51,-2.1
Volkswagen,Golf,e-Golf,85,16.11.2018,64,10.91,Electricity,Winter tires,0,0,1,Normal,16.5,0,1,62,-0.3
Volkswagen,Golf,e-Golf,85,15.11.2018,76,8.93,Electricity,Winter tires,0,1,1,Normal,14.9,0,1,44,-1.9
Volkswagen,Golf,e-Golf,85,14.11.2018,18,2.92,Electricity,Winter tires,1,1,0,Normal,14.1,0,1,52,-2.7
Volkswagen,Golf,e-Golf,85,14.11.2018,43,6.45,Electricity,Winter tires,1,1,0,Normal,15.9,0,1,40,-0.9
Volkswagen,Golf,e-Golf,85,10.11.2018,19,7.88,Electricity,Winter tires,0,1,0,Fast,19.6,0,1,71,2.8
Volkswagen,Golf,e-Golf,85,10.11.2018,57,8.61,Electricity,Winter tires,0,0,1,Normal,15.1,0,1,44,-1.7
Volkswagen,Golf,e-Golf,85,09.11.2018,22,6.81,Electricity,Winter tires,0,0,1,Moderate,12.8,0,0,42,-4
Volkswagen,Golf,e-Golf,85,09.11.2018,40,6.51,Electricity,Winter tires,0,0,1,Normal,14.8,0,1,41,-2
Volkswagen,Golf,e-Golf,85,08.11.2018,108,7.35,Electricity,Winter tires,0,0,1,Normal,14.9,0,1,41,-1.9
Volkswagen,Golf,e-Golf,85,03.11.2018,61,13.13,Electricity,Winter tires,0,0,1,Normal,15.2,0,1,55,-1.6
Volkswagen,Golf,e-Golf,85,02.11.2018,57,11.72,Electricity,Winter tires,0,0,1,Normal,13.3,0,1,64,-3.5
Volkswagen,Golf,e-Golf,85,02.11.2018,81,3.16,Electricity,Winter tires,0,0,1,Normal,13.8,0,1,49,-3
Volkswagen,Golf,e-Golf,85,01.11.2018,4,7.11,Electricity,Summer tires,1,0,0,Normal,17,0,1,15,0.2
Volkswagen,Golf,e-Golf,85,30.10.2018,45,0.95,Electricity,Summer tires,1,0,1,Normal,16.4,0,1,28,-0.4
Volkswagen,Golf,e-Golf,85,28.10.2018,81,15.4,Electricity,Summer tires,0,1,0,Moderate,16.8,0,1,62,0
Volkswagen,Golf,e-Golf,85,27.10.2018,6,15,Electricity,Summer tires,0,1,0,Moderate,12.6,0,1,37,-4.2
